word,appears
AMET,12
AUGUE,9
CUM,13
DAPIBUS,17
TACITI,13
IMPERDIET,11
MOLLIS,17
IACULIS,9
EU,14
VIVERRA,13
PURUS,21
PHASELLUS,8
NUNC,13
SOCIIS,17
INCEPTOS,18
SEMPER,16
NEC,15
SAGITTIS,13
RUTRUM,17
NULLA,7
NASCETUR,25
VESTIBULUM,12
CURAE;,18
ULTRICIES,13
FELIS,11
PLATEA,11
CONSEQUAT,11
SOCIOSQU,11
SENECTUS,11
NAM,10
CURSUS,12
DIGNISSIM,10
SIT,19
ANTE,18
QUISQUE,21
CONUBIA,16
FRINGILLA,12
A,19
INTEGER,17
MI,10
LITORA,15
DUI,16
HAC,15
BLANDIT,12
ENIM,17
HABITASSE,14
APTENT,11
MUS,10
VIVAMUS,22
CONGUE,12
PER,12
ELEIFEND,13
BIBENDUM,11
ORNARE,7
LIGULA,12
NONUMMY,12
MONTES,22
LECTUS,15
MORBI,14
PULVINAR,14
FERMENTUM,20
LAOREET,22
ALIQUET,10
IPSUM,10
ERAT,13
NULLAM,13
VARIUS,12
ID,11
EGET,16
ARCU,18
NETUS,17
MAGNIS,15
IN,14
HABITANT,21
CRAS,9
PRETIUM,11
HYMENAEOS,13
LEO,17
FAMES,8
EGESTAS,16
MAIORES QUE 10,115
VENENATIS,18
CONVALLIS,17
DIAM,20
PENATIBUS,13
TEMPOR,11
NON,13
TELLUS,20
TRISTIQUE,11
PRIMIS,7
NEQUE,12
LOBORTIS,7
QUIS,9
TURPIS,12
RISUS,12
DIS,17
VULPUTATE,9
DICTUM,15
EST,11
CUBILIA,15
ETIAM,21
AENEAN,12
DICTUMST,9
NATOQUE,17
METUS,8
TORQUENT,13
EROS,14
URNA,19
SED,10
ADIPISCING,14
LOREM,13
FUSCE,7
PEDE,11
NISL,8
RIDICULUS,9
DUIS,18
QUAM,11
UT,11
NOSTRA,9
HENDRERIT,21
RHONCUS,18
AT,14
AC,14
JUSTO,11
PROIN,9
ULTRICES,10
SEM,10
MALESUADA,13
SUSCIPIT,13
VELIT,12
ALIQUAM,14
TEMPUS,20
PRAESENT,21
AD,14
AUCTOR,10
CURABITUR,10
GRAVIDA,5
LUCTUS,13
ODIO,20
CLASS,10
SODALES,14
FAUCIBUS,12
TORTOR,10
NISI,8
ET,14
LACINIA,13
PORTTITOR,17
MAURIS,11
EUISMOD,8
MATTIS,11
ELEMENTUM,8
VEL,18
POTENTI,11
NIBH,12
ORCI,18
COMMODO,9
VOLUTPAT,14
FACILISI,8
SAPIEN,18
PHARETRA,11
VEHICULA,15
POSUERE,12
LIBERO,11
MAGNA,5
PARTURIENT,10
TINCIDUNT,10
MAECENAS,14
INTERDUM,18
VITAE,16
LACUS,10
PLACERAT,18
FEUGIAT,13
DONEC,17
MASSA,8
DOLOR,15
ACCUMSAN,10
ELIT,13
FACILISIS,15
PORTA,13
MOLESTIE,10
